127.0.0.1 - - [24/Aug/2024:13:03:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:06 +0900] "GET /myapp/admin/itemManagement/itemManageList.jsp HTTP/1.1" 200 14329
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:07 +0900] "GET /myapp/resources/css/bar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:07 +0900] "GET /myapp/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:07 +0900] "GET /myapp/resources/images/Cinnamoroll.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:07 +0900] "GET /myapp/admin/css/main.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:07 +0900] "GET /myapp/resources/css/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:11 +0900] "GET /myapp/admin/orderManagement/orderManageList.jsp HTTP/1.1" 200 12743
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:18 +0900] "GET /myapp/admin/orderManagement/orderCancel.jsp HTTP/1.1" 200 11549
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:19 +0900] "GET /myapp/admin/orderManagement/orderReturnList.jsp HTTP/1.1" 200 11538
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:22 +0900] "GET /myapp/admin/userManagement/userManageList.jsp HTTP/1.1" 200 13400
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:25 +0900] "GET /myapp/admin/itemManagement/itemManageList.jsp HTTP/1.1" 200 14329
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:26 +0900] "GET /myapp/admin/css/main.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:27 +0900] "GET /myapp/admin/itemManagement/itemRegistration.jsp HTTP/1.1" 200 11131
0:0:0:0:0:0:0:1 - - [24/Aug/2024:13:03:29 +0900] "GET /myapp/admin/orderManagement/orderManageList.jsp HTTP/1.1" 200 12743
